,tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating,Comments,Tags
17,Economics,780,Princeton University,Ana,,Babus,1479819,3,poor,TEACHER,PROFESSOR,1.3,"['Now in WashU StLouis and is definitley the worst professor I came across in my 4 years at this uni. Her slides are confusing and terms are not explained clearly. Homework quizzes gravitate wildley from her lecture slides.', 'Not good at teaching. Reading off slides in class but her slides are not helpful and not explanatory at all. I can only reference to them to know what are some major terms or issues that I should know when self-studying at home. Be prepared to study a lot by yourself and read books very carefully.', 'She is absolutely awful. Extremely rude and unwilling to help. Avoid her at ALL costs.']","[""Skip class? You won't pass."", ""Skip class? You won't pass.""]"
18,Economics,780,Princeton University,Natalie,,Bachas,2675132,1,average,TEACHER,PROFESSOR,3.0,"[""You should not expect Natalie to know more about corporate finance than you do when you register for the class. Her expertise is household finance and doesn't know much about corporate finance. Always enthusiastic to take questions in class, but never replied after class. Not available for questions before exams...""]",[]
19,Art History,780,Princeton University,Robert,,Bagley,33700,5,good,TEACHER,PROFESSOR,4.5,"['He completely changed the way I look at art and read about art', 'Extreme lucidity, great professor', ""He's amazing."", 'No Comments', 'No Comments']",[]
20,Physics,780,Princeton University,Neta,,Bahcall,1952483,0,zero,TEACHER,PROFESSOR,N/A,[],[]
21,Psychology,780,Princeton University,Dan,,Bailis,2540118,0,zero,TEACHER,PROFESSOR,N/A,[],[]
22,Biology,780,Princeton University,Joe,,Bak-Coleman,2262771,0,zero,TEACHER,PROFESSOR,N/A,[],[]
23,Physical Education,780,Princeton University,Jim,,Barlow,2232494,0,zero,TEACHER,PROFESSOR,N/A,[],[]
24,Political Science,780,Princeton University,Gary,,Bass,311532,8,good,TEACHER,PROFESSOR,4.5,"['Fantastic lecturer. Used to be a journalist for the Economist, really knows his stuff.', 'Gary Bass is the best lecturer/informational speaker I have ever heard, bar none. He is a supremely talented orator with extensive expertise in his subject matter. I would encourage friends to attend his classes just so they could hear him speak about war and politics.', 'he is great i recomend him', 'Best professor at Princeton, in my opinion. Fantastic lecturer. Excellent preceptor.', 'Gary Bass is smart, but a little bit of a dick.', 'Brilliant', ""He's amazing. Really wants his students to learn. And he's funny and smart as hell."", 'Great, funny guy who knows his stuff.']",[]
25,Computer Science,780,Princeton University,Andy,,Bavier,2073979,0,zero,TEACHER,PROFESSOR,N/A,[],[]
26,Political Science,780,Princeton University,Sean,,Beienburg,2198651,0,zero,TEACHER,PROFESSOR,N/A,[],[]
27,Languages,780,Princeton University,David,,Bellos,732429,3,good,TEACHER,PROFESSOR,3.5,"['Great Professor! Even though his class was super early in the morning I looked forward to it.', 'Really smart but yeah, mean.', 'He can be kind of callous.']",[]
28,Biology,780,Princeton University,Miriam,,Ben Hamo,1887523,1,good,TEACHER,PROFESSOR,4.5,['Hard work!'],[]
29,Chemistry,780,Princeton University,Steven,,Bernasek,1698391,1,good,TEACHER,PROFESSOR,5.0,"[""Bernasek is amazing! He's so nice and he's a good lecturer too!""]",[]
30,Mathematics,780,Princeton University,Manjul,,Bhargava,2306076,0,zero,TEACHER,PROFESSOR,N/A,[],[]
31,Physics,780,Princeton University,William,,Bialek,791066,9,good,TEACHER,PROFESSOR,4.6,"['Professor Bialek is an incredible lecture! He can be very intimidating, but he is willing to help you if you need it! Every lecture that he gave would leave us all mind blown.', 'awesome lecturer.', 'Best Lecturer of my 4 years at Princeton! Tough material and course, but he explains his mechanics and wave functions and entropy like the best of them!', 'Big man with big brain. Perfomance is funny and extremely good.', 'A very charismatic lecturer. Extremely helpful when you approach him personally for specific questions. A very generous grader as well.', 'quite good', 'Extremely good lecturer. Really knows what he is talking about, which makes for great clarity. His course is difficult, but awesome.', 'Awesome lecturer... Teaches some tough material, but very fascinating to listen to and learn from.', 'A really great lecturer.']",[]
32,Economics,780,Princeton University,Elizabeth,,Bogan,136441,34,good,TEACHER,PROFESSOR,4.0,"[""Her lectures lack any objectivity and balance of both sides of an issue. They are an ongoing, disorganized spewing of her opinions based on outdated references. She doesn't allow questions during class so there is no opportunity for a discussion that could lead to explorations of other ideas than hers. AWFUL"", 'Professor Bogan is a hero among women. She is the successful lady economist of your dreams. She is a brilliant lecturer and patient and fair in office hours. Take all of her classes, fantastic for Public Economics and American Economic History.', 'I took 101 followed by 102, and I devised this strategy: Ignore the textbook. Go to lecture. (Though a friend did the opposite and got OK grades, too.) This was one of the unsung changed-my-life classes, not because it made me scrap my plans and become an economist but because I used it and thought about it every single day from then on.', ""This course was better than previous. But she's still horrendous. Cannot believe I took her for this semester and the following."", 'Fantastic professor, my favorite in Economics so far!', ""Bogan is a good lecturer and a helpful teacher. She's a lovely professor to have, but be ready for some less-than-perfectly written exams and a worthless textbook."", 'Professor Bogan is amazing.  She inspired me to become an Economics major - even though it was not an easy - and inspired me to pursue a career in business.  She is an great professor and advisor, as well as a tremendous role model for women pursuing a career in Economics, Finance and business.', 'She was my professor at FDU 28 years ago and was BY FAR the best professor I ever had, left me with a life long passion for economcis', 'Love love love Bogan. Favorite Professor of all time. She is seriously smart. Changed my whole outlook in Princeton and after. My thesis was influenced by her love of monetary policy.', ""Beth Bogan made me love economics when I was dreading having to take it. Found her lectures crystal clear and interesting, and she's one of the most approachable professors I've ever had. Ended up taking a lot more econ. One of my absolute favorite profs ever."", 'Boring but nice', 'Took her class 25 years ago at a different school....she is who inspired me to go into economics and finance...', ""She's a bit boring, but definately well intentioned. Her  lecture slides which are available online are very good so you don't really have to go to class."", ""I took her course more than 10 years ago, and I'm still scarred.  While she keeps a good front by holding more office hours than most, she doesn't connect with most students.  Her lectures are notoriously unstructured, and you'll have a hard time following them if you're a novice.  She's well intentioned, but she's not an effective teacher."", 'not good', ""Clear, but a little dry. Most office hours I've ever seen, from any professor, anywhere.  Really cares about students."", 'Great course, well taught, excellent lectures, precise and accurate testing', 'Fantastic teacher. Has the most office hours on campus', 'takes a boring subject and makes it even more boring. zzz....', 'While some might describe her lectures as dull, they are right on the mark in terms of what you need to know, and should know, about the subject matter.  Makes herself extremely accessible.  Very straightforward courses, excellent teaching abilities.']","['Respected', 'Accessible outside class', 'Gives good feedback', 'Would take again', 'Inspirational', 'Respected', 'Inspirational', 'ACCESSIBLE OUTSIDE CLASS', 'ACCESSIBLE OUTSIDE CLASS', 'GRADED BY FEW THINGS', 'Gives good feedback', 'Respected', 'ACCESSIBLE OUTSIDE CLASS']"
33,Anthropology,780,Princeton University,John,,Borneman,968936,0,zero,TEACHER,PROFESSOR,N/A,[],[]
34,Anthropology,780,Princeton University,Amy,,Borovoy,1313378,1,good,TEACHER,PROFESSOR,3.5,['she aieet'],[]
35,Theology,780,Princeton University,Francois,,Bovon,328729,1,good,TEACHER,PROFESSOR,3.5,"['With a subject like Theology there is a mere interest among students. I do believe Dr. Bovon attempts to make his class as clear as possible. If you are looking for a challenge, as well as enlightenment, this is the class, as well as professor you should take.']",[]
36,Engineering,780,Princeton University,Clifford,,Brangwynne,1930223,1,good,TEACHER,PROFESSOR,5.0,['An inspiration to students!'],"['Inspirational', 'Hilarious', 'Respected', 'Respected', 'Inspirational', 'Hilarious']"
37,Engineering,780,Princeton University,Christopher,,Brinton,2518190,9,good,TEACHER,PROFESSOR,4.9,"[""Chris's lectures are clear, well-paced, organized. The lecture notes he released are super helpful for homework and revision. He is a generous grader, and as long as you put work into it, you're likely to get the grade you aim for. He is also very approachable and welcomes questions in class."", 'This professor cares about his students. If you need any help after class, please ask!', ""Super kind professor who really cares about his students. He's always willing to talk outside of class and provide as much help as possible. Chris is not one of those teachers who are always out to get you and honestly just wants his students to succeed. Any class with him should be pretty chill / fun to take!"", ""Chris genuinely cares about his students, and well after the class ended continued to speak to me whenever I saw him in the halls, and seemed genuinely sad to be leaving our school when he got a new position. The class was tough, but interesting.I wish I'd realized sooner how much Chris values people coming to talk to him outside of class."", ""Professor Brinton is one of those Professors who actually really wants to be there. He's a smart guy who has done his fair share of research but still really cares about education."", ""He's a really down-to-earth professor and so friendly."", ""Chris was a great lecturer. I had him for our introductory signals class at Princeton. He was really easy to reach outside of classes and a very nice person to get to know! In the following semester, I got the chance to work with him as a teaching assistant for a different class. He is thoughtful and cares about students' learning."", 'Professor Brinton was an amazing professor and really helped me through the class. He was readily available for questions and puts a lot of time into his courses. I would highly recommend him if you have the opportunity to take one of his classes.', 'I took two courses with Prof. Brinton while he was a lecturer at Princeton, and I can confidently say that he is the best instructor I have ever had. Chris teaches clearly and with enthusiasm, but more importantly, he cares deeply about each and every one of his students. It is so easy to connect with him, which makes lectures really enjoyable.']","['Accessible outside class', 'Caring', 'Amazing lectures', 'Gives good feedback', 'Inspirational', 'Accessible outside class', 'Amazing lectures', 'Accessible outside class', 'Lecture heavy', 'Caring', 'Accessible outside class', 'Clear grading criteria', 'Caring', 'Lots of homework', 'Accessible outside class', 'Caring', 'Gives good feedback', 'Accessible outside class', 'Caring', 'Gives good feedback', 'Accessible outside class', 'Hilarious', 'Accessible outside class', 'Inspirational', 'Caring', 'Accessible outside class', 'Amazing lectures', 'Caring', 'Accessible outside class', 'Inspirational', 'Caring']"
38,Biology,780,Princeton University,Carlos,,Brody,1334624,0,zero,TEACHER,PROFESSOR,N/A,[],[]
39,English,780,Princeton University,Chris,,Brown,2106154,0,zero,TEACHER,PROFESSOR,N/A,[],[]
40,Economics,780,Princeton University,Smita,,Brunnermeier,650499,6,good,TEACHER,PROFESSOR,4.3,"['Terrible professor', 'very intelegent', 'she is very intelegent', '', 'Smita is amazing!!!', 'No Comments']",[]
41,Psychology,780,Princeton University,Gerald,,Buchanan,1830942,2,poor,TEACHER,PROFESSOR,1.2,"['This guy was plain AWFUL!', ""Worst professor I've had in my four years at Princeton!!""]",[]
42,Biology,780,Princeton University,Rebecca,,Burdine,2529850,0,zero,TEACHER,PROFESSOR,N/A,[],[]
43,History,780,Princeton University,Graham,,Burnett,2071290,0,zero,TEACHER,PROFESSOR,N/A,[],[]
44,Theater,780,Princeton University,Michal,,Cadden,482271,4,good,TEACHER,PROFESSOR,3.9,"['He seems more amused by his own stories than actually getting into course content. He was just ok. People are often dazzled by his outgoing personality, but that gets old after a few classes. I was grateful I went through several peer editing sessions before turning in my papers. I did fine in the class, but others suffered.', ""Michael is amusing, I'll give him that.  His naughty anecdotes are enough to keep any class flying, and he is certainly one of the most erudite living scholars in his field.  But be prepared: he plays favorites like no other professor I've ever had."", 'No Comments', ""It has been a long time since I've taken Michael Cadden's classes, but I can still say, unequivocally, he is the best professor I've ever had.  His lectures are works of art, and he is a compelling, brilliant presence in the classroom.  The unsung gem (to mix a metaphor) of the English Department.""]",[]
45,Political Science,780,Princeton University,Charles,,Cameron,2499680,0,zero,TEACHER,PROFESSOR,N/A,[],[]
46,Political Science,780,Princeton University,Daniela,,Campello,1584242,1,poor,TEACHER,PROFESSOR,2.0,['Blah'],[]
47,History,780,Princeton University,David,,Cannadine,1952103,0,zero,TEACHER,PROFESSOR,N/A,[],[]
48,Finance,780,Princeton University,Margaret,,Cannella,1628344,1,poor,TEACHER,PROFESSOR,1.5,"['Margaret has a good demeanor in lectures, is respectful, and invites questions from students but fails to answer them adequately, contradicting herself at times. Her materials are not ordered well to group appropriate topics, and her tests/quizes do not fairly reflect what was mentioned in lectures or what was in the course materials (hand-outs).']",[]
49,Art History,780,Princeton University,Yecheng (Kent),,Cao,2455361,2,good,TEACHER,PROFESSOR,5.0,"['Interested in discussing both pragmatics and topics of group interest. Natural and professional. Made me consider teaching more rigorously.', 'Kent was extraordinary. He always moderated our precepts in a way that made discussions extremely interesting, and was accessible outside of class. He brought humor and a lively demeanor to our precepts that made me excited to come to class, and I think Kent was one of the central reasons as to why I enjoyed this class so much.']","['Gives good feedback', 'Participation matters', 'Inspirational', 'Caring', 'Respected', 'Gives good feedback', 'Respected', 'Participation matters', 'Gives good feedback', 'Inspirational', 'Caring']"
50,Languages,780,Princeton University,Mihaela Carla,,Caponegro,1394628,12,good,TEACHER,PROFESSOR,4.0,"[""Took her EAD II, she's humorous and is a very nice person but not a good professor. You have to guess what she wants in a paper therefore very hard to get an A. Also she likes to handwrite unidentifiable comments on your paper which makes them useless until you ask her. Maybe choose her class if you have no better options."", 'I had Dr. Caponegro for 101, and found this semester to be easier. Granted, the content increased in difficulty, but the Italian department switched to online exams which made the class overwhelmingly easier throughout. That being said, I had to study much harder for this final because I was basically learning everything at the end.', 'Lectures are very interactive which makes class go a lot faster. While she is very thorough and pretty understanding, she does expect a lot for beginners. Having previous knowledge in Italian, I did not find the work difficult, however, there is a decent amount of it. Not an easy A, but definitely doable. The textbook is also a must.', 'She is a very nice professor, and truly cares for each student. Participation is weighted the most, so make sure to actively participate during every lecture. Exams are long, but doable. Be sure to memorize all of the vocabulary and grammar rules and do all the assigned homework. You need a 95 for the A, but if you put in the work you will be fine.', 'loved the class', ""Very rough teacher to have. Don't get me wrong she's not a bad teacher, but she expects way too much out of a beginner. If you don't mind writing entire essays in Italian without the use of a book in your second week of class, this is for you. Don't expect an easy A. She can also be very nasty and snotty. Expect a lot of passive aggressive insults."", ""Not easyper se, but understanding and funny. Be ready to work for your sucess, but only because it's a 101 langague class, so there's a lot of material to cover. When I was out sick, she was really sweet and asked how I was doing at the next class. Just be ready to participate a lot. It's 25% of your grade. I wanted her for 102 but alas."", ""I didn't like Professoressa Caponegro. As a first time Italian student, I found her to be really tough and driven on participation in class. If you're someone who actively participates, you'll probably be fine albeit a little uncomfortable. When you mess up it's embarrassing, but everyone messes up so you're not alone. I wouldn't recommend her."", 'very nice teacher, wants her students to do well and makes class fun. Tests are easy as long as you study and follow along with everything you do in class. Definately would recommend', 'Fun class', 'Very good professor.', '']","['Participation matters', ""Skip class? You won't pass."", 'Tough grader', 'Would take again', 'Gives good feedback', 'Tough Grader', 'Get ready to read', 'Hilarious']"
51,Economics,780,Princeton University,Anne,,Case,1989773,0,zero,TEACHER,PROFESSOR,N/A,[],[]
52,Sociology,780,Princeton University,Miguel,,Centeno,507556,5,good,TEACHER,PROFESSOR,4.9,"['took his class at NYUAD - discipline and his lectures were amazing. He keeps you engaged and you learn ALOT. Just make sure you do the readings or you might be lost in class. On that note, the readings were pretty long - but it was a 7 week class. Highly recommend him.', ""Centeno is fantastic in every way.  Just don't **** about your grades."", 'The best thesis advisor ever! Get him if you can.  Just make sure you make a lot of appointments with his secretary :)  But seriously, an awesome advisor!', ""Lectures very very interesting, lots of reading but interesting & you don't have to do it all.  Grading is strict 33%A but not unreasonably hard since many PDF and thus those left don't have to try that hard.  Also, no exams, just three fairly short papers"", 'No Comments']","['Amazing lectures', 'Hilarious', 'Respected', 'Respected', 'Hilarious', 'Amazing lectures']"
53,Religion,780,Princeton University,Simeon,,Chavel,933570,3,good,TEACHER,PROFESSOR,5.0,"[""Prof Chavel is clearly one of the most caring and devoted professors in the field. He is always available, open to talk, interested in how you're processing the material, and such. He is quick to respond as well; He is really a model professor and made learning about the HB exceedingly interesting. HOWEVER, he is NOT easy, and that is a GOOD THING"", 'This class is enthralling. We are all completely transfixed and enchanted by his lectures. Prof. Chavel is the best professor at Princeton.', 'No Comments']","['Get ready to read', 'Would take again', 'Gives good feedback']"
54,Economics,780,Princeton University,Martin,,Cherkes,2689288,0,zero,TEACHER,PROFESSOR,N/A,[],[]
55,Engineering,780,Princeton University,Edgar,,Choueiri,953651,5,average,TEACHER,PROFESSOR,3.4,"['Definitely one of the smartest men I have ever met.', ""He's quite awesome. You'd be lucky if you had him. Oh and he's super famous now."", ""he has no idea what he's talking about"", ""not surre he understand what he's talking"", 'A fantastic professor, who does an excellent job representing the Princeton MAE program.  He is a prime example of a Lebanese gentleman, and also makes a rather good dish of hummus, (or so the Princeton Lebanese students say).  I <3 Ranzi.']",['So many papers']
56,Computer Science,780,Princeton University,Douglas,,Clark,2020550,1,good,TEACHER,PROFESSOR,3.5,"[""Doug Clark is a good lecturer, but isn't too important to the COS 126 class. Whereas precepts are critical, I found lectures to be fairly skippable.""]",[]
57,Writing,780,Princeton University,Christopher,,Close,1554719,1,good,TEACHER,PROFESSOR,5.0,"['Difficult grader, but your writing skills improve tremendously after this course.']",[]
58,Near Eastern Studies,780,Princeton University,Nancy,,Coffin,2684669,0,zero,TEACHER,PROFESSOR,N/A,[],[]
59,Social Science,780,Princeton University,Mark,,Cohen,1480035,0,zero,TEACHER,PROFESSOR,N/A,[],[]
60,Near Eastern Studies,780,Princeton University,Mark,R,Cohen,1788974,0,zero,TEACHER,PROFESSOR,N/A,[],[]
61,Psychology,780,Princeton University,Ron,,Comer,33701,14,good,TEACHER,PROFESSOR,4.3,"['Dr. Comer is one of the most enthusiastic professors that I have had at Princeton - His teaching style focuses on intense participation - and what I loved the most was that he would always ask us to answer in a practical yet creative way, making sure to pinpoint why what we are saying is important. Also he explains concepts in an engaging way. ', 'Had him for abnormal psych and a seminar - loved him!', ""Great course, and great guy! He's very chill, funny, easy to talk to, and very well informed. One of the few profs there with a wealth of clinical experience. A course with him is a MUST before graduation!"", 'this guy actually wrote my abnormal psych textbook. his book is very detailed and clear.', 'No Comments', 'No Comments', 'The best professor ever', 'Funny guy!', 'No Comments', 'fun', 'No Comments', 'Easily the best professor at Princeton', 'One of the best lectures!', 'No Comments']","['Participation matters', 'Amazing lectures', 'Hilarious']"
62,History,780,Princeton University,Thomas,,Conlan,2111993,0,zero,TEACHER,PROFESSOR,N/A,[],[]
63,Mathematics,780,Princeton University,John,,Conway,327711,6,average,TEACHER,PROFESSOR,3.1,"[""I attended a seminar Conway held at West Chester University of PA on surreal numbers. He is a genius, and it shows. He's hard to follow at times, and moves very quickly, but that comes with the brilliance. I recommend math majors/graduates see him any chance you get, it's an unforgettable experience."", ""I had this professor during FSI2006, and I'm surprised I passed."", 'No Comments', ""Conway's very hard to follow, and there was almost no class structure at all.  Oddly, this didn't hinder most of the class at all; he's an incredible genius, and a great lecturer besides.  Just ASK EVERY QUESTION YOU CAN, and the class'll be the most fun you've ever had."", ""Conway's a force to behold.  Just make sure you stop him to ask questions, or he'll zip by you and not even realize it."", 'He looks like Santa Claus. He invented surreal numbers. He has been to Japan. He is hot. He will have visited the state of Michigan at least twice by the end of the year. TJCG is EXTREME.']",[]
64,Biology,780,Princeton University,Ileana,,Cristea,2362447,0,zero,TEACHER,PROFESSOR,N/A,[],[]
65,Music,780,Princeton University,Gabriel,,Crouch,1593856,0,zero,TEACHER,PROFESSOR,N/A,[],[]
66,Ethnic Studies,780,Princeton University,Lisette,,Cruz,1032802,0,zero,TEACHER,PROFESSOR,N/A,[],[]
67,Philosophy,780,Princeton University,Simon,,Cullen,1872573,9,good,TEACHER,PROFESSOR,4.9,"[""Professor Cullen is the most dedicated prof I've ever had. Thanks to his attention I've made an amazing improvement in my writing and reasoning this sem. His class has also awoken a love for philosophy that I never knew I had! If you're lucky enough to get in, take this class!!"", 'very helpful and fun', ""I'm so glad I got to take this class! I worked harder for Simon than I did for any of my other classes but it was worth it! The skills I gained have been incredibly useful."", 'Professor Cullen is funny, brilliant, and incredibly committed. I looked forward to every class session. He went to great lengths to help us understand the course material, including posting videos on YouTube and holding extra office hours. It was evident how much he cared about his students. He is the kind of professor you hope to get!', 'Simon is the best teacher I have ever had the chance to learn from.', 'Amazing teacher!! Always willing to meet with and help students. Super clear explanations and really really cares about students and their learning. He definitely understands and cares about teaching method, not just the material. Also an awesome guy! ', ""The mapping technique is useful not only for analyzing others' arguments, but also for planning and critiquing my own. Indispensable tool!  Simon was very helpful with learning the mapping."", 'Simon is one of the best instructors I have ever had. His approach to teaching us argument mapping was perfect. I left this class with many important skills -- most importantly, the ability to decompose complex arguments into understandable sub-pieces. My ability to write clear and concise papers also significantly improved as well.', 'It is clear that Simon genuinely wants you to learn. His innovative teaching style and tools make it possible.']","['Gives good feedback', 'Lots of homework', 'Caring', 'Participation matters', 'Amazing lectures']"
68,Music,780,Princeton University,Mark,,Dancigers,1554233,0,zero,TEACHER,PROFESSOR,N/A,[],[]
69,Philosophy,780,Princeton University,Shamik,,Dasgupta,1977590,1,good,TEACHER,PROFESSOR,5.0,"[""Professor Dasgupta is great! He's clear and interesting in explanations, has a very specific but incredibly helpful grading system, and made me think a lot about the philosophy of science without feeling overloaded with work.""]","['Amazing lectures', 'Clear grading criteria', 'Hilarious', 'Clear grading criteria', 'Hilarious', 'Amazing lectures']"
70,Engineering,780,Princeton University,Sujit,,Datta,2345093,1,good,TEACHER,PROFESSOR,5.0,['Amazing lecturer.'],"['Amazing lectures', 'Lots of homework', 'Caring', 'LOTS OF HOMEWORK', 'Amazing lectures', 'Caring']"
71,Social Science,780,Princeton University,Patrick,Luiz,De Oliveira,2629505,1,good,TEACHER,PROFESSOR,5.0,"['Professor De Oliveira is such a caring and understanding teacher. He is sympathetic and understands if people want to extend deadline. His grading policy is reasonable and he gives really good feedback on your drafts. While there is a lot of writing (it is a writing seminar!), he makes the topic very interesting. He also gives amazing writing tips!', 'Professor De Oliveira is such a caring and understanding teacher. He is sympathetic and understands if people want to extend deadline. His grading policy is reasonable and he gives really good feedback on your drafts. While there is a lot of writing (it is a writing seminar!), he makes the topic very interesting. He also gives amazing writing tips!']","['Participation matters', 'Gives good feedback', 'Caring', 'Gives good feedback', 'Participation matters', 'Caring']"
